,id,age,sex,edu,country,ethnicity,neuroticism,extraversion,openness,agreeableness,conscientiousness,impulsiveness,sensationseeking,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semeron,VSA
1,1,0.5121787056174071,-1.0005306447706963,-1.8354110615211339,0.7953620301730003,-2.656032628782965,0.3369700771430865,-0.5280934878831874,-0.5718144829053444,-0.9111861385800598,0.08079446195667571,-0.37735145632346107,-1.3205285214864637,5,2,0,2,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0
2,2,-0.2708357794505673,0.9994696366638347,-1.4893322527817783,0.7953620301730003,0.2553580507610685,-0.7576165080968218,1.8346567857493479,1.4039770996659269,0.7973908720418923,-0.06274706564778583,-0.8487281926851072,-0.2079556983330142,5,2,2,0,6,4,6,3,0,4,0,2,0,2,3,0,4,0,0
3,3,0.5121787056174071,0.9994696366638347,-1.8354110615211339,0.7953620301730003,0.2553580507610685,-0.5386991910488401,0.8009535410351136,-0.8757824186855401,-1.687812052499129,-1.0675377588790167,-1.3201049290467535,0.5337595171026188,6,0,0,0,6,3,4,0,0,0,0,0,0,0,0,1,0,0,0
4,4,-1.0538502645185417,-1.0005306447706963,0.24106179091499946,0.7953620301730003,0.2553580507610685,-0.21032321547686764,-0.8234372720872544,0.03612138865504669,0.6420656892580784,0.6549605723745219,-1.3201049290467535,-1.3205285214864637,4,0,0,3,5,2,4,2,0,0,0,2,0,0,0,0,2,0,0
5,5,0.5121787056174071,-1.0005306447706963,-1.4893322527817783,0.7953620301730003,0.2553580507610685,0.7748047112390498,-1.709468624699455,-0.4198305150152467,-0.28988540744480445,1.2291266827923681,-0.37735145632346107,-0.2079556983330142,4,1,1,0,6,3,6,0,0,1,0,0,1,0,0,2,2,0,0
6,6,2.86122216082133,-1.0005306447706963,-0.4510958265637116,0.42017248390770867,0.2553580507610685,-0.7576165080968218,-0.23274970367912057,-1.635702258136029,1.884667151528589,1.516209738001291,-1.3201049290467535,-1.6913861292042802,2,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,6,0,0
7,7,1.2951931906853815,0.9994696366638347,0.24106179091499946,-1.4557752474187498,0.2553580507610685,-0.5386991910488401,-1.1187810562913214,-0.4198305150152467,-0.28988540744480445,0.942043627583445,-0.37735145632346107,0.1629019093848023,6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0
8,8,0.5121787056174071,0.9994696366638347,-1.1432534440424227,0.7953620301730003,0.2553580507610685,-1.3049098007167759,1.8346567857493479,-0.8757824186855401,-0.28988540744480445,1.516209738001291,0.09402528003818515,-0.5788133060508307,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0.5121787056174071,-1.0005306447706963,-1.8354110615211339,0.42017248390770867,0.2553580507610685,0.665346052715059,2.277672462055448,-1.027766386575638,0.7973908720418923,1.0855851551879065,-1.3201049290467535,-1.6913861292042802,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
10,10,2.078207675753356,0.9994696366638347,0.24106179091499946,0.7953620301730003,0.2553580507610685,-0.31978187400085845,0.06259408052494635,-1.4837182902459312,0.6420656892580784,0.22433598956113726,-1.3201049290467535,-0.9496709137686472,6,1,0,1,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
11,11,-0.2708357794505673,-1.0005306447706963,0.9332194083937105,0.7953620301730003,0.2553580507610685,-1.0859924836687942,0.8009535410351136,-1.1797503544657357,-0.7558609557962459,1.6597512656057527,0.09402528003818515,0.1629019093848023,5,0,1,0,6,2,5,2,0,0,0,0,0,0,0,0,2,0,1
12,12,1.2951931906853815,0.9994696366638347,0.587140599654355,-0.3302066086228747,0.2553580507610685,-1.3049098007167759,0.06259408052494635,0.1881053565451445,-1.9984624180667565,-0.49337164846117043,0.5654020163998313,1.2754747325382518,5,1,0,0,6,4,5,2,0,3,0,0,0,1,0,2,6,0,0
13,13,2.078207675753356,-1.0005306447706963,0.9332194083937105,0.7953620301730003,0.2553580507610685,2.1977672720509305,0.2102659726269798,0.4920732923253401,-1.687812052499129,-0.7804547036700935,1.5081554891231237,0.1629019093848023,5,1,0,4,6,3,5,1,0,0,0,0,0,1,1,1,6,0,0
14,14,2.078207675753356,-1.0005306447706963,-1.8354110615211339,0.42017248390770867,0.2553580507610685,-0.8670751666208126,0.8009535410351136,0.03612138865504669,0.9527160548257061,2.521000431232522,-0.8487281926851072,-0.9496709137686472,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,15,2.078207675753356,-1.0005306447706963,-1.8354110615211339,0.7953620301730003,0.2553580507610685,-0.9765338251448035,1.3916411094432475,0.4920732923253401,-0.6005357730124321,1.516209738001291,1.5081554891231237,0.9046171248204353,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
16,16,2.078207675753356,0.9994696366638347,0.9332194083937105,0.7953620301730003,0.2553580507610685,-1.85220309333673,-1.5617967325974218,-1.635702258136029,-1.0665113213638735,1.0855851551879065,-0.8487281926851072,-0.5788133060508307,5,2,2,0,6,1,5,2,0,1,0,0,0,0,0,0,0,0,0
17,17,0.5121787056174071,-1.0005306447706963,0.587140599654355,0.7953620301730003,0.2553580507610685,-1.5238271177647575,-0.8234372720872544,-1.7876862260261268,0.3314153236904508,0.7985020999789835,-0.37735145632346107,-2.0622437369220967,6,0,0,1,6,3,5,0,0,0,0,0,0,0,0,0,6,0,0
18,18,1.2951931906853815,0.9994696366638347,-1.1432534440424227,0.7953620301730003,0.2553580507610685,0.5558873941910681,-1.2664529483933549,-0.2678465471251489,-0.4452105902286183,-1.4981623416924013,-1.3201049290467535,-0.9496709137686472,6,1,1,0,6,6,4,1,0,1,0,2,0,1,0,1,6,0,0
19,19,2.078207675753356,0.9994696366638347,0.9332194083937105,0.044982937642416995,0.2553580507610685,1.4315566623829947,-0.0850778115770871,-0.1158625792350511,-1.9984624180667565,-1.6417038692968628,-0.8487281926851072,-0.2079556983330142,6,2,0,2,6,3,6,2,0,2,0,0,2,1,0,1,0,0,0
20,20,0.5121787056174071,0.9994696366638347,-1.8354110615211339,0.7953620301730003,0.2553580507610685,-0.4292405325248493,-1.8571405168014885,-2.5476060654766157,-1.9984624180667565,0.7985020999789835,-1.3201049290467535,-2.0622437369220967,4,1,0,0,6,1,6,0,0,1,0,0,0,0,6,0,1,0,0
21,21,1.2951931906853815,0.9994696366638347,-1.8354110615211339,0.7953620301730003,0.2553580507610685,-0.8670751666208126,0.8009535410351136,0.7960412281055357,1.5740167859609613,-1.211079286483478,0.09402528003818515,-0.2079556983330142,6,1,1,0,6,2,6,0,0,0,0,0,0,1,0,1,3,0,0
22,22,2.86122216082133,0.9994696366638347,-0.10501701782435606,0.7953620301730003,0.2553580507610685,-1.1954511421927851,0.5056097568310467,-1.1797503544657357,-0.6005357730124321,1.6597512656057527,-0.37735145632346107,-1.3205285214864637,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,1,1,0,0
23,23,1.2951931906853815,0.9994696366638347,0.9332194083937105,0.7953620301730003,0.2553580507610685,0.4464287356670773,-0.9711091641892878,-0.8757824186855401,1.10804123760952,-0.9239962312745551,-0.8487281926851072,0.1629019093848023,4,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
24,24,1.2951931906853815,0.9994696366638347,-1.1432534440424227,0.7953620301730003,0.2553580507610685,1.6504739794309764,-3.4815313299238566,-1.3317343223558333,0.3314153236904508,-1.0675377588790167,-1.3201049290467535,-1.6913861292042802,6,2,1,5,6,2,6,2,0,0,1,0,0,1,0,0,6,0,1
25,25,2.078207675753356,0.9994696366638347,0.9332194083937105,0.7953620301730003,0.2553580507610685,-0.21032321547686764,0.6532816489330802,1.251993131775829,0.7973908720418923,1.3726682103968295,-0.37735145632346107,-0.5788133060508307,5,1,1,1,5,1,5,1,0,1,0,0,0,1,0,1,6,0,0
26,26,1.2951931906853815,0.9994696366638347,0.587140599654355,0.7953620301730003,0.2553580507610685,-0.8670751666208126,-0.38042159578115403,-1.3317343223558333,0.9527160548257061,0.08079446195667571,-0.37735145632346107,0.5337595171026188,5,1,2,0,6,1,5,2,0,2,0,0,3,2,0,2,1,0,0
27,27,2.078207675753356,-1.0005306447706963,-0.4510958265637116,0.42017248390770867,0.2553580507610685,-0.10086455695287681,-1.709468624699455,-3.307525904927105,-0.7558609557962459,0.6549605723745219,0.09402528003818515,-1.6913861292042802,6,0,0,2,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
28,28,0.5121787056174071,0.9994696366638347,0.9332194083937105,0.7953620301730003,0.2553580507610685,0.5558873941910681,-1.2664529483933549,0.03612138865504669,0.02076495812282316,-2.3594115073191704,1.97953222548477,0.5337595171026188,6,1,1,2,6,6,5,1,0,0,0,0,2,1,0,3,2,0,0
29,29,0.5121787056174071,-1.0005306447706963,0.24106179091499946,0.7953620301730003,0.2553580507610685,0.00859410157111402,-1.5617967325974218,-0.7237984507954422,0.3314153236904508,1.2291266827923681,0.09402528003818515,-0.5788133060508307,6,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0
30,30,1.2951931906853815,0.9994696366638347,-1.4893322527817783,0.7953620301730003,0.2553580507610685,-1.3049098007167759,1.6869848936473144,0.9480251959956334,0.9527160548257061,1.6597512656057527,-0.37735145632346107,-0.5788133060508307,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
31,31,1.2951931906853815,0.9994696366638347,-1.1432534440424227,0.7953620301730003,0.2553580507610685,0.3369700771430865,-0.8234372720872544,-1.3317343223558333,-1.5324868697153151,-0.636913176065632,-1.3201049290467535,0.1629019093848023,6,1,1,1,6,2,6,1,0,0,1,0,1,1,1,1,2,0,0
